submission_date,state,tot_cases,conf_cases,tot_death
01/07/2022,HI,130605,,1090
10/29/2021,PA,1557459,1289048.0,31377
04/11/2021,PA,1079234,915624.0,25405
08/13/2021,TN,939790,766646.0,12941
10/21/2020,AK,11682,,95
03/30/2022,OH,2669698,2068276.0,37793
01/13/2022,NY,2322549,,24502
07/07/2021,HI,36714,,515
05/18/2020,SD,4027,,44
09/05/2020,TN,158882,154834.0,1837
07/29/2022,FL,6800160,,78293
08/21/2021,SD,128405,,2057
08/28/2022,GA,2852706,2199929.0,39632
03/11/2021,PW,0,,0
05/10/2022,MA,1792722,1649678.0,20357
08/29/2022,SD,256255,,2984
04/09/2020,PR,434,434.0,30
01/03/2021,MA,387662,371097.0,12821
04/22/2021,SD,121651,,1956
07/03/2022,FL,6518904,,76604
12/20/2020,GA,587918,509588.0,10383
01/27/2020,FL,0,,0
10/02/2022,AS,8247,,34
07/12/2022,IN,1790544,,23962
03/18/2020,AS,0,,0
10/03/2022,TX,7876824,,89234
02/07/2021,GA,940991,772978.0,15092
12/31/2021,ND,174626,143055.0,2012
12/13/2021,ND,167818,138287.0,1962
03/07/2022,OH,2659929,2062003.0,37018
03/26/2022,SD,236955,,2880
10/26/2021,FL,3663494,,61153
05/21/2022,SD,239110,,2919
10/08/2022,AR,953976,,12301
03/27/2021,SD,117081,,1933
07/18/2021,IA,376040,,6158
07/22/2021,PW,2,,0
08/11/2021,NY,1191255,,20039
05/06/2021,NY,1128398,,19508
08/14/2020,WA,66060,,1755
03/10/2022,KS,768422,577585.0,8003
09/06/2020,PR,17635,17437.0,468
10/31/2020,ND,45043,45043.0,531
08/29/2022,FL,7019081,,80394
10/08/2020,PA,173969,166817.0,8299
09/22/2020,OH,145850,137888.0,4635
10/19/2021,FL,3650185,,60711
08/29/2020,OH,121340,114911.0,4126
05/25/2020,SD,4586,,50
09/22/2021,ND,127912,113603.0,1595
08/24/2020,NY,197811,,8933
10/23/2021,TN,1271552,999850.0,16175
09/29/2021,AK,108608,,546
12/01/2021,GA,1666110,1286391.0,30571
09/18/2021,SD,140104,,2101
07/08/2022,KS,812329,608804.0,8961
09/13/2021,AR,475647,,7298
11/26/2020,AR,152625,,2436
04/07/2022,UT,928621,928621.0,4730
03/25/2020,WA,2528,,132
07/13/2021,IA,375134,,6149
01/28/2021,CO,402231,379363.0,5569
12/28/2020,WV,81436,66631.0,1263
04/08/2020,IN,5943,,203
12/28/2020,NM,138659,,2290
05/30/2021,IA,371384,,6055
02/17/2020,TN,0,,0
12/26/2021,RMI,4,4.0,0
09/24/2020,RMI,0,0.0,0
04/15/2020,UT,2637,,21
05/10/2022,TN,2035132,1545709.0,26240
12/11/2021,MP,1774,1774.0,5
06/23/2020,GU,226,,5
03/06/2022,PA,2761697,2290578.0,43525
01/13/2021,NYC,515913,450855.0,25799
