submission_date,state,tot_cases,conf_cases,tot_death
11/06/2021,FL,3682229,,61627
03/17/2021,TX,2731270,,47967
08/05/2020,TX,459887,,10965
04/01/2020,TX,3996,,122
10/08/2020,FL,714033,,16745
04/18/2022,TX,6709228,,86368
04/12/2020,NY,85486,,2443
04/23/2022,NY,2746325,,27394
01/25/2020,NY,0,,0
02/11/2022,FL,5741535,,70605
04/28/2022,TX,6734179,,86533
12/15/2020,FL,1132830,,21262
10/17/2021,FL,3645264,,60564
02/03/2020,FL,0,,0
08/11/2020,FL,539663,,11161
11/21/2021,NY,1526969,,21967
01/07/2021,TX,1891741,,33467
12/19/2021,TX,4413046,,73859
05/14/2021,NY,1138883,,19612
10/01/2021,TX,4057845,,64304
06/29/2021,TX,2986847,,51449
03/02/2021,FL,1885280,,32337
11/12/2021,NY,1481688,,21760
06/08/2021,NY,1153736,,19844
06/08/2021,FL,2300589,,37464
06/26/2021,TX,2984022,,51409
04/12/2020,FL,19264,,638
01/13/2021,NY,674674,,14180
11/13/2020,TX,1088970,,21315
06/06/2022,FL,6235531,,75200
12/19/2020,FL,1178082,,21692
05/06/2020,FL,37404,,1732
11/19/2021,TX,4286622,,72082
11/21/2020,FL,920077,,19078
04/02/2022,NY,2675983,,27247
09/25/2022,NY,3222162,,29046
09/14/2020,FL,654444,,15294
10/02/2020,FL,699863,,16424
06/29/2022,NY,2999304,,28231
04/14/2021,NY,1078165,,19098
03/25/2021,FL,1994690,,33804
10/03/2022,NY,3241301,,29136
06/16/2021,TX,2970470,,51250
01/06/2021,FL,1401141,,24262
08/10/2020,FL,531841,,10973
06/15/2022,FL,6333750,,75604
05/12/2020,TX,41048,,1389
09/24/2021,NY,1321300,,20818
09/08/2021,NY,1266531,,20456
02/12/2020,TX,0,,0
04/17/2022,NY,2722326,,27326
05/27/2020,FL,51655,,2506
03/08/2022,NY,2639217,,27063
01/24/2020,FL,0,,0
12/31/2021,TX,4576799,,74491
08/26/2022,TX,7691281,,88502
06/30/2021,FL,2340397,,38063
04/14/2022,FL,5878821,,74039
09/04/2020,TX,630829,,15164
04/23/2022,TX,6724014,,86476
11/06/2020,TX,1017677,,20283
06/02/2022,NY,2937339,,27973
12/24/2020,FL,1233817,,22296
01/01/2021,NY,559358,,12701
08/01/2021,TX,3128102,,52106
07/04/2020,NY,179868,,8701
06/14/2020,FL,75110,,3087
05/08/2022,FL,5965858,,74431
09/13/2020,FL,651794,,15220
06/12/2020,FL,71203,,3027
09/30/2021,TX,4046932,,63976
10/17/2022,TX,7902489,,89429
01/06/2022,NY,2105334,,23948
03/22/2020,FL,1040,,25
05/26/2021,NY,1148695,,19736
12/26/2020,NY,510100,,12091
06/08/2021,TX,2955535,,51102
03/15/2021,TX,2721126,,47807
07/07/2020,NY,180749,,8716
03/24/2021,NY,998316,,18638
01/02/2022,NY,1987234,,23721
01/23/2021,TX,2228961,,38815
06/15/2022,TX,6958529,,86932
02/10/2022,FL,5732650,,70426
02/26/2021,FL,1866565,,32018
09/22/2022,TX,7845304,,89032
03/19/2022,NY,2651991,,27172
08/24/2020,FL,592941,,13196
10/13/2021,NY,1383582,,21276
01/20/2021,TX,2166283,,37876
04/03/2020,TX,5324,,163
08/17/2020,TX,542950,,13162
09/04/2022,FL,7048402,,80712
02/24/2022,FL,5800580,,72217
05/12/2022,TX,6774057,,86687
02/09/2020,NY,0,,0
11/23/2020,TX,1201257,,22970
01/15/2022,NY,2374952,,24684
06/10/2020,TX,79757,,2184
04/21/2020,FL,27015,,1050
07/10/2021,FL,2377237,,38390
08/09/2020,NY,193028,,8879
12/14/2020,TX,1482141,,27183
03/22/2022,FL,5838687,,73574
04/27/2021,TX,2871871,,49832
09/02/2022,NY,3167845,,28842
03/27/2022,TX,6654977,,85859
04/08/2021,TX,2809497,,49060
09/14/2022,FL,7086048,,81174
08/29/2021,NY,1238214,,20270
02/08/2021,FL,1754522,,29979
03/29/2020,FL,4784,,126
09/24/2020,FL,681041,,15978
07/03/2022,TX,7130997,,87147
10/29/2020,NY,241569,,9251
09/21/2021,FL,3540674,,56970
08/31/2021,TX,3590156,,55635
02/18/2020,FL,0,,0
05/07/2020,FL,37744,,1773
09/28/2020,NY,213388,,9034
05/26/2020,NY,164535,,7927
02/25/2022,TX,6540116,,83271
10/05/2020,FL,705405,,16561
02/10/2020,FL,0,,0
09/07/2021,TX,3697884,,57238
08/27/2022,NY,3155197,,28787
11/09/2021,NY,1467214,,21676
03/15/2020,FL,110,,6
03/06/2022,FL,5818795,,72943
09/04/2021,NY,1256486,,20370
01/25/2021,NY,772569,,15618
10/31/2020,TX,900596,,19471
05/20/2022,TX,6805220,,86758
05/13/2022,FL,6010838,,74510
01/26/2020,TX,0,,0
03/09/2020,TX,12,,0
02/28/2021,TX,2644024,,46402
07/05/2020,NY,180162,,8705
08/02/2020,TX,436711,,10351
12/03/2020,NY,353040,,10172
03/12/2022,TX,6600601,,84997
10/27/2021,FL,3665886,,61204
12/02/2020,NY,346492,,10117
08/13/2021,FL,2910719,,43468
09/11/2022,NY,3185750,,28911
02/15/2021,FL,1800952,,30906
03/09/2020,FL,18,,2
04/20/2022,FL,5896010,,74130
09/03/2021,FL,3340921,,51594
09/19/2021,FL,3525240,,56514
03/08/2020,TX,5,,0
12/25/2021,TX,4486466,,74092
06/26/2022,FL,6447149,,76208
06/01/2022,TX,6863419,,86819
02/07/2020,NY,0,,0
12/12/2020,FL,1103612,,20952
02/08/2020,NY,0,,0
04/16/2021,NY,1085444,,19141
08/24/2022,TX,7672518,,88413
01/26/2021,TX,2273119,,39787
02/21/2020,FL,0,,0
09/19/2022,FL,7098287,,81386
12/21/2020,TX,1591948,,28782
02/04/2021,FL,1728007,,29400
08/21/2022,TX,7636824,,88304
03/13/2022,FL,5827564,,73274
03/16/2021,FL,1950352,,33319
06/06/2020,NY,170805,,8308
10/19/2021,TX,4172288,,68043
10/04/2020,TX,765894,,17156
05/16/2021,NY,1141186,,19638
02/13/2020,FL,0,,0
07/16/2022,NY,3045419,,28351
01/11/2021,NY,656699,,13928
01/14/2021,NY,682976,,14325
06/23/2022,TX,7022523,,87018
02/14/2021,TX,2560060,,44267
08/15/2022,TX,7603677,,88141
09/05/2020,NY,203058,,8964
05/03/2021,FL,2209404,,35875
04/18/2021,NY,1092654,,19179
04/07/2022,TX,6685984,,86173
01/23/2020,FL,0,,0
11/16/2020,TX,1116230,,21772
01/30/2022,NY,2550713,,25882
03/10/2020,FL,20,,3
11/15/2020,TX,1108402,,21599
12/10/2020,NY,398898,,10598
05/20/2022,FL,6067981,,74655
03/15/2020,NY,400,,1
01/31/2021,FL,1693167,,28743
03/19/2020,FL,388,,12
08/15/2020,NY,194985,,8898
04/06/2020,NY,58188,,1197
06/02/2020,NY,168663,,8198
01/19/2022,NY,2434127,,24995
12/07/2021,TX,4351747,,73052
12/05/2021,TX,4342918,,72986
02/17/2022,TX,6490838,,81844
10/09/2022,NY,3256225,,29207
03/02/2021,NY,924361,,18064
05/10/2022,FL,5987006,,74464
04/18/2020,NY,105548,,3562
04/15/2021,FL,2116967,,34902
10/31/2021,NY,1438453,,21760
03/14/2021,TX,2718383,,47724
05/28/2020,NY,165682,,8023
05/22/2022,FL,6081388,,74714
04/10/2020,TX,11671,,351
05/27/2020,NY,164997,,7977
12/10/2021,NY,1644585,,22616
03/31/2022,NY,2671212,,27234
01/24/2020,TX,0,,0
03/06/2022,TX,6570340,,84409
04/20/2020,FL,26159,,1002
06/09/2022,TX,6918577,,86895
05/15/2021,NY,1140253,,19623
06/11/2022,TX,6931577,,86911
05/08/2021,TX,2903694,,50229
08/20/2021,FL,3061866,,46018
05/26/2022,TX,6831898,,86791
05/23/2021,TX,2932082,,50710
02/17/2020,TX,0,,0
12/13/2020,NY,420108,,10834
07/27/2020,FL,433649,,8027
09/03/2022,TX,7750099,,88676
01/04/2022,NY,2032108,,23825
04/22/2021,TX,2857017,,49638
04/20/2020,NY,110706,,3940
05/22/2021,TX,2931314,,50672
11/01/2021,NY,1440632,,21786
11/21/2020,TX,1183847,,22618
05/05/2021,TX,2896218,,50132
07/05/2021,TX,2994817,,51507
06/11/2020,NY,172375,,8438
03/24/2022,TX,6645121,,85702
09/01/2022,FL,7037420,,80571
02/22/2022,FL,5794168,,72016
09/01/2021,FL,3305243,,50802
05/15/2020,TX,45198,,1503
11/10/2021,TX,4255280,,70862
09/30/2022,TX,7870903,,89208
11/26/2020,TX,1251345,,23528
02/19/2020,NY,0,,0
06/17/2022,TX,6972408,,86954
04/25/2020,TX,23773,,850
07/21/2022,TX,7338125,,87474
01/30/2022,FL,5556479,,68314
11/11/2021,NY,1476679,,21735
09/21/2022,NY,3210103,,29035
06/02/2021,NY,1151698,,19792
09/04/2020,NY,202536,,8963
01/09/2021,NY,638239,,13694
08/29/2020,TX,606530,,14596
03/18/2022,NY,2650390,,27169
01/11/2022,TX,5147506,,75397
08/20/2021,NY,1213128,,20135
08/01/2021,NY,1174038,,19990
04/19/2022,NY,2727940,,27355
03/29/2021,TX,2775669,,48649
09/13/2020,TX,659434,,15834
09/22/2022,FL,7106619,,81486
01/21/2021,NY,742538,,15184
06/13/2020,FL,73348,,3054
09/20/2021,FL,3532353,,56737
07/09/2020,FL,240044,,4644
07/10/2022,FL,6590829,,77028
02/27/2021,TX,2640209,,46301
04/06/2020,TX,7273,,248
06/30/2022,TX,7095510,,87125
09/13/2022,TX,7808077,,88842
01/17/2021,NY,712961,,14698
05/30/2022,TX,6854683,,86804
11/30/2020,TX,1278432,,24255
10/09/2021,TX,4119056,,66332
06/26/2021,NY,1156956,,19922
06/28/2022,TX,7072719,,87072
09/21/2021,TX,3938888,,61178
02/13/2022,FL,5750907,,70920
08/21/2021,NY,1216034,,20148
12/19/2021,FL,3803138,,62768
02/28/2020,TX,0,,0
08/10/2022,FL,6901559,,79141
08/01/2021,FL,2649367,,40315
02/05/2022,TX,6351228,,79369
10/10/2021,TX,4120845,,66465
07/08/2022,FL,6573815,,76923
12/12/2021,TX,4372008,,73400
12/13/2021,FL,3748038,,62622
04/04/2021,TX,2793524,,48895
10/07/2022,FL,7130870,,81944
09/14/2020,TX,663404,,15899
06/18/2022,TX,6978196,,86957
09/18/2020,TX,682241,,16167
05/10/2022,NY,2830916,,27617
03/21/2022,FL,5836709,,73547
05/01/2022,NY,2784311,,27495
12/11/2021,FL,3742472,,62574
09/04/2020,FL,630170,,14468
09/02/2022,TX,7750099,,88676
12/15/2021,NY,1677912,,22851
06/03/2021,NY,1151994,,19799
06/26/2021,FL,2331063,,37945
04/29/2022,FL,5930907,,74268
11/14/2021,FL,3694027,,61908
10/31/2021,TX,4222311,,69981
05/31/2020,FL,55198,,2644
04/25/2022,FL,5912224,,74194
08/17/2020,FL,567995,,12152
01/02/2022,FL,4334695,,63302
08/06/2022,TX,7508886,,87873
10/22/2020,NY,233558,,9177
06/30/2020,FL,156503,,3778
12/20/2021,FL,3818013,,62792
10/15/2020,NY,227126,,9127
07/19/2022,NY,3052401,,28389
08/12/2021,TX,3278469,,52787
04/16/2022,FL,5883804,,74063
10/08/2022,NY,3254047,,29207
08/30/2022,TX,7722352,,88578
12/25/2021,NY,1780756,,23271
03/10/2022,NY,2641345,,27090
01/23/2022,NY,2492151,,25334
08/23/2022,FL,6984424,,80015
03/29/2022,NY,2666687,,27226
03/06/2020,NY,21,,0
03/22/2021,NY,991538,,18594
05/08/2022,NY,2822670,,27584
09/21/2022,FL,7103938,,81447
11/22/2020,FL,926211,,19146
06/10/2022,TX,6923445,,86901
05/14/2021,TX,2917256,,50422
06/24/2021,FL,2327115,,37893
02/28/2021,FL,1873800,,32178
09/27/2021,TX,4008025,,62980
10/22/2020,TX,845100,,18474
07/30/2022,FL,6808152,,78371
09/06/2021,FL,3379627,,52691
04/02/2022,TX,6674810,,86066
02/08/2020,FL,0,,0
09/24/2022,NY,3219757,,29046
09/12/2022,FL,7078944,,81090
04/21/2021,TX,2853676,,49599
11/03/2021,TX,4233278,,70293
09/14/2021,NY,1286202,,20576
04/07/2022,FL,5863220,,73926
05/21/2022,FL,6074939,,74688
09/07/2021,FL,3393666,,53005
04/18/2022,FL,5888671,,74104
08/22/2021,FL,3094825,,46757
11/24/2021,NY,1540890,,22043
09/20/2021,TX,3925108,,60832
06/03/2022,NY,2941197,,27991
02/07/2022,FL,5699851,,69909
07/04/2022,FL,6526232,,76672
03/04/2020,TX,0,,0
10/07/2020,NY,220268,,9084
07/06/2022,TX,7156500,,87198
10/16/2020,FL,737137,,17137
07/17/2020,NY,184817,,8770
12/06/2020,TX,1375313,,25426
08/01/2020,TX,430485,,10159
08/04/2020,NY,191309,,8866
11/13/2020,NY,272361,,9457
05/17/2022,TX,6790676,,86723
09/29/2021,TX,4035920,,63626
05/25/2020,TX,55971,,1763
09/25/2022,TX,7852498,,89093
01/08/2022,NY,2185691,,24120
06/10/2022,NY,2959195,,28076
03/01/2021,NY,921678,,18031
09/04/2022,TX,7750099,,88676
11/15/2020,FL,872273,,18688
04/13/2020,NY,88268,,2661
07/15/2021,FL,2412414,,38611
04/07/2021,FL,2065776,,34472
10/04/2021,NY,1353306,,21047
02/07/2021,FL,1747416,,29867
05/09/2021,TX,2905110,,50258
05/12/2022,FL,5998491,,74497
06/07/2022,TX,6903403,,86862
04/03/2022,NY,2677991,,27254
07/06/2021,TX,2995819,,51511
12/22/2020,FL,1210212,,22069
05/12/2021,NY,1136256,,19591
08/28/2022,FL,7012852,,80333
06/21/2020,FL,97638,,3329
04/30/2022,TX,6739875,,86563
05/02/2020,FL,34860,,1540
11/23/2021,TX,4296053,,72301
09/26/2022,NY,3223774,,29051
10/16/2022,NY,3271946,,29310
05/31/2020,NY,167467,,8130
02/14/2022,FL,5756883,,71056
03/06/2021,NY,938986,,18201
03/07/2022,FL,5820394,,73004
04/18/2021,FL,2133274,,35044
04/15/2022,NY,2714693,,27326
02/20/2022,FL,5786562,,71800
05/01/2020,TX,29229,,1037
06/29/2022,FL,6482361,,76369
04/28/2022,NY,2768797,,27455
07/02/2021,NY,1157893,,19933
04/27/2022,FL,5921462,,74233
05/23/2020,TX,54509,,1700
06/10/2021,TX,2964503,,51141
06/27/2020,NY,177489,,8664
01/28/2022,NY,2537050,,25748
01/24/2022,FL,5403481,,66963
02/23/2021,NY,900510,,17798
04/01/2022,NY,2673606,,27243
12/13/2020,TX,1472711,,26962
08/09/2021,NY,1187342,,20020
09/21/2021,NY,1310574,,20745
06/14/2020,TX,87854,,2329
05/27/2021,FL,2281033,,36998
03/13/2022,TX,6601878,,85039
07/08/2020,FL,228806,,4513
01/25/2022,NY,2507445,,25507
11/30/2021,TX,4316162,,72607
01/21/2021,FL,1595358,,27056
06/09/2020,FL,65369,,2930
11/10/2020,TX,1051899,,20825
03/16/2020,NY,487,,1
